synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
promiscuity.n.01,indulging in promiscuous (casual and indiscriminate) sexual relations,"promiscuity,promiscuousness,sleeping_around",Q261290,practice of having casual sex frequently with different partners or being indiscriminate in the choice of sexual partners,"promiscuity,sexual_promiscuity,Promiscuity,Promiscuity#Primitive_promiscuity,promiscuous,Promiscuity,womanizer,womaniser,skank,man-hungry,sleeps_around,Primitive_promiscuity,man_about_town,extra-pair_mating,extra-pair,indiscriminate_sex_with_multiple_partners,promiscuous_behavior,Womanizing,exchange_sexual_partners_throughout_their_adult_lives,ladies_man,physical,sex-crazed,playboy,extra-pair_copulation,extra-pair_copulations,sexual_promiscuity,Promiscuity#Other_animals,Promiscuity#Male_promiscuity,promiscuity,fast_girl,promiscuous_and_planning_to_cheat_on_her,Playah,promiscuously,promiscuous_young_man,free_sex,womanizing,extra-pair_matings,extra_pair_matings,loose,extra-pair_paternity,mating_with_as_many_males_as_possible,Girl_with_the_bad_reputation,Romeo,promiscuous_lifestyle,slut,to_have_sexual_intercourse_with_many_women,hoe,promiscuous_sex,sexually_promiscuous,casual_sex,philanderer,romeo,easy,liberal_sexually,ladies'_man,womanising,licentiousness,Extra-pair_copulation_in_non-humans,high_number_of_sexual_partners,philandering,active_sex_life,lady's_man",7|8
bulimic.a.01,suffering from bulimia,bulimic,Q180913,eating disorder characterized by binge eating followed by purging,"bulimia,BN,hiperorexia_nerviosa,Bulimia_nerviosa,Bulimia_nerviosa_;_BN,Atracones,hyperorexia_nervosa,Bulimia_nervosa,bulimia,Bulimia_nervosa,bulimic,Bulimia,Bulimia_Nervosa,purges,binges_and_purges,binges_on_chocolate_and_snacks,_then_forces_herself_to_vomit,vomiting,Bulimic_binge_eating,alternating_self-starvation_with_heavy_binges,binge_eater,bulimia_nervosa,Bulimia_Nervosa_(BN),purging,bulimics,binging_and_purging,therapy,Bulimic_model",7|8
xenotime.n.01,a brown-to-yellow mineral that is a phosphate of yttrium in crystalline form,xenotime,Q421241,phosphate mineral,"xenotime,xenotime-(Y),Xenotime,xenotime,Xenotime",7|8
vulpecula.n.01,a constellation in the northern hemisphere near Cygnus and Sagitta,Vulpecula,Q10519,constellation in the northern celestial hemisphere,"Vulpecula,Vul,Vulpeculae,Vulpecula,Vulpecula,Little_Fox,Vulpecula_et_Anser,Vulpecula_and_Anser,Fox,Vul,Vulpecula#History,Anser",7|8
vermiculite.n.01,any of a group of yellow or brown hydrous silicate minerals having a micaceous structure,vermiculite,Q194358,"smectite, phyllosilicate mineral","vermiculite,Vermiculite,Vermiculite,vermiculite",7|8
phase_i_clinical_trial.n.01,"a clinical trial on a few persons to determine the safety of a new drug or invasive medical device; for drugs, dosage or toxicity limits should be obtained","phase_I_clinical_trial,phase_I",Q42824069,"earliest phase of a clinical trial, aimed at studying safety and dosage","phase_I_clinical_trial,phase_1_clinical_trial,phase_1_trial,phase_1,phase_I_trial,phase_I",7|8
anorexia.n.01,a prolonged disorder of eating due to loss of appetite,anorexia,Q131749,"eating disorder characterized by refusal to maintain a healthy body weight, and an obsessive fear of gaining weight due to a distorted self image","anorexia_nerviosa,AN,size_0,Anorexia_nervosa_;_AN,Anorexia_nervosa,eating_disorders,lyrical_content,Anorexia_Nervosa,,same_illness,Anorexia_nervosa,Anorexic_model,Anorexia_Nervosa_(AN),eating_disorder,Anorexia_nervosa_binge-purge_type,anorexic,anorexia_nervosa,anorexia,Anorexia,anorexics,Anorexia_nervosa_restricting_type,starving_themselves,Anorexia_Nervosa",7|8
frankenstein.n.03,the fictional Swiss scientist who was the protagonist in a gothic novel by Mary Wollstonecraft Shelley; he created a monster from parts of corpses,Frankenstein,Q2320164,character originally of Mary Shelley's 1818 novel Frankenstein,"Victor_Frankenstein,Dr._Frankenstein,Victor_Frankenstein,Dr_Frankenstein,his_grandfather,Boris_von_Frankenstein,the_titular_protagonist,fictional_scientist,Dr._Victoria_Frankenstein,Baron_Victor_von_Frankenstein,Baron_Boris_von_Frankenstein,Doctor_Victor_Frankenstein,Victor_von_Frankenstein,original_creator,Dr._Frankenstein,Victor,Victor_Frankenstein,Henry_Frankenstein,Dr._Henry_Frankenstein,the_title_character,Doctor_Frankenstein,Dr._Victor_Frankenstein,Baron_Victor_Frankenstein,Dr._Victor_Frankenstein_/_Dr._Whale,Frankenstein,Baron_Frankenstein",7|8
psychotherapy_group.n.01,a meeting of people for psychotherapeutic purposes,psychotherapy_group,Q63319342,clinical trial,Yoga_Based_Psychotherapy_Group_Feasibility_and_Efficacy_Study,7|8
whale_oil.n.01,a white to brown oil obtained from whale blubber; formerly used as an illuminant,"whale_oil,train_oil",Q1053334,oil obtained from several species of whales of the Balenidae family,"whale_oil,train_oil,Whale_oil,sperm_oil,sperm_whale_oil,tran,lamp_oil,whale,whale_oil,Whale,recoverable_oil,animal,oil,train_oil,whale_products,Whale_oil",7|8
fordhooks.n.01,relatively large lima beans,Fordhooks,Q51394108,"Philadelphia, Pa. :W. Atlee Burpee & Co.,1898. | U.S. Department of Agriculture, National Agricultural Library",Burpee's_farm_annual_:_written_at_Fordhook_Farm,7|8
trade_discount.n.01,a discount from the list price of a commodity allowed by a manufacturer or wholesaler to a merchant,trade_discount,Q291046,reductions in the basic prices of goods or services,"Discounts_and_allowances,MIR,Discounts_and_allowances,Discounts_and_allowances#Partial_payment_discount,Discounts_and_allowances#Seasonal_discount,Discounts_and_allowances#Trade-in_discount,Discounts_and_allowances#Military_discount,Volume_Discounts,Discounts_and_allowances,discounts,Discounts_and_allowances#Preferred_payment_method_discount,Discounts_and_allowances#Employee_discount,cash_discounts,Discounts_and_allowances#Promotional_allowance,sales,Discounts_and_allowances#Forward_dating,Discounts_and_allowances#Disability_discount,''discount'',Discounts_and_allowances,reduction,Sale,trade-in_allowances,discount_rates,discount_plans,Discounts_and_allowances#Functional_discount,Discounts_and_allowances#Child_discount,discount_sales,Discounts_and_allowances#Cumulative_quantity_discount,Payment_(or_credit)_terms,Discounts_and_allowances#Trade_discount,student_discount,discount,Discounts_and_allowances#Student_discount,mates_rates,steal,price_discounts,Discounts_and_allowances#Non-cumulative_quantity_discount,discounted,Discount,specials,Discount_rate,discount_supermarket,Discounts_and_allowances#Senior_discount,Discounts_and_allowances#Brokerage_allowance,Farmers_Finance_Cardholder_shopping_events,Discounts_and_allowances#Dependence_of_price_on_quantity,trade_discount,sale_price,Kamaʻaina_rate,discounts_and_allowances,Discounts_and_allowances#Prompt_payment_discount,Discounts_and_allowances#Trade_rate_discount,prices_fall_discounted_(sale),sale,Discounts_and_allowances#Toddler_discount,senior_discount,Discounts_and_allowances#Educational_discount,offer",7|8
enzymologist.n.01,a person who is trained in or engaged in enzymology,enzymologist,Q8047,biological molecule,"enzyme,Enzyme,enzymologist,inhibited,Enzyme#Cofactors,enzymology,enzymatic_activity,carbohydrate-digesting_enzymes,enzyme_reactions,enzymes,factors,Enzymes,N._Zyme,enzymatic_pathways,lock_and_key_system,enzymatic_system,activity,Enzymatic,specificity,apoenzyme,enzymatic,competitive_inhibitor,lock_and_key_model,ligase_enzyme,carbohydrate-digesting_enzyme,Enzyme#Structures_and_mechanisms,catalyst,specificities,enzyme's,enzymatically-catalyzed,Enzyme#Naming_conventions,substrate_specificities,Enzyme#.22Lock_and_key.22_model,enzymic,enzyme-catalysed,substrates,catalytic,Enzymology,enzyme_kinetics,enzymatic_process,Enzyme,enzyme_activity,Enzyme#\,lock_and_key,Enzyme#Induced_fit_model,Enzyme_Catalysis,enzymatic_function,processed,enzymatic_activities,enzyme-catalyzed,enzyme_classes,Enzymes_,enzyme,Enzyme#Specificity,Enzyme#Cofactors_and_coenzymes,industrially,enzyme's_initial_state,enzymatically_active,holoenzyme,catalyzes,enzymatically,Enzyme#Substrate_binding",7|8
diana.n.02,(Roman mythology) virgin goddess of the hunt and the Moon; counterpart of Greek Artemis,Diana,Q132543,"goddess of the hunt, the moon and birthing, equated with the Greek goddess Artemis","Diana,Diana_(mythology),the_goddess_Diana,Diana_of_Ephesus,Roman_goddess,Artemis,figure_from_Roman_mythology,Jana,Diana-like,Diana_Nemorensis,Diana,_the_Huntress,Dianne,The_Goddess_Diana,Dian,Roman_goddess_of_\,Goddess_Diana,Artemis-Diana,goddess_Diana,(Latin:_Diana),Diana's,the_Roman_goddess_Diana,The_goddess_Diana,Moon,goddess_of_hunting,Roman_goddess_of_hunting,Diana_the_Huntress,Diane_chasseresse,Diana_(mythology),The_Diana,Diana,myth,Dianium,Diana_the_Huntress_(Artemis),Diane,Diana_the_huntress",7|8
onshore.s.02,on the edge of the land,onshore,Q50687555,group of wind turbines on land,"onshore_wind_farm,onshore_wind_power_station,onshore_wind_power_plant",7|8
bernhardt.n.01,French actress (1844-1923),"Bernhardt,Sarah_Bernhardt,Henriette_Rosine_Bernard",Q4605,French actress,"Sarah_Bernhardt,Rosine_Bernard_Bernhardt,Sarah_Bernhardt,La_voyante,Sarah_Bernhardt,Bernhardt,Sara_Bernhardt,titular_actress,Sarah_Bernhardt's,S_Bernhardt,Théâtre_Sarah_Bernhardt",7|8
fragrant_agrimony.n.01,fragrant European perennial herb found at woodland margins on moist soils,"fragrant_agrimony,Agrimonia_procera",Q953646,species of plant,Agrimonia_procera,7|8
alpha_decay.n.01,radioactive decay of an atomic nucleus that is accompanied by the emission of an alpha particle,alpha_decay,Q179856,emission of alpha particles by a decaying radioactive atom,"alpha_decay,Alpha_decay,alpha_radiation,alpha-particles,decay,alpha_emitting,alpha,alpha-particle_emission,α-emission,alpha_activities,alpha_emitter,α_emission,α,alpha_decay,Alpha_decay,α-decay,Alpha,alpha-decay,&alpha;,α_decay,α-emitter,alpha_activity,alpha_emission,alpha_particles",7|8
cagliostro.n.01,Italian who was famous as a magician and alchemist (1743-1795),"Cagliostro,Count_Alessandro_di_Cagliostro,Giuseppe_Balsamo",Q312332,Italian occultist,"Alessandro_Cagliostro,Alessandro_Cagliostro,Cagliostro,Cagliostro,_Alessandro,Count_of_Cagliostro,Alessandro_Cagliostro,Count_Alessandro_di_Cagliostro,Cagliostro’s,Count_Cagliostro",7|8
boiled_egg.n.01,egg cooked briefly in the shell in gently boiling water,"boiled_egg,coddled_egg",Q1297370,eggs that are gently or lightly cooked in water just below boiling temperature in or out of the shell or other container,"coddled_egg,Coddled_egg,Coddled_egg,coddling,coddled_egg,Coddled_egg#egg_coddler",7|8
marston_moor.n.01,a former moor in northern England,Marston_Moor,Q26676252,"Moor Monkton, Harrogate, North Yorkshire, YO26",Marston_Moor_Signal_Box,7|8
meerkat.n.01,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,"meerkat,mierkat",Q134015,species of small carnivoran in the mongoose family (Herpestidae),"meerkat,suricate,Suricata_suricatta,mierkat,Meerkat,Suricata,Slender-tailed_meerkat,slender-tailed_meerkats,Meerkat#Reproduction,''Suricata_suricatta'',meerkat,African_meerkat,Suricata_suricatta,meerkats,Meerkat,slender-tailed_meerkat",7|8
foul_line.n.03,lines through 1st and 3rd base indicating the boundaries of a baseball field,foul_line,Q5369,sport in which teams compete to score runs by hitting a thrown ball and advancing around bases,"baseball,Baseball,on-deck_circle,baseball_team,sport_of_baseball,softball,American_Baseball_players,Cole_Field,Grand_Slammin',baseball_club,fielder,men's_baseball,Baseball_player,rosters,base_ball,ball_diamonds,pitching_distance,baseball,baseball_games,baseball_field,BB,baseball_players,Men's_Baseball,Netchuu_Pro_Yakyuu_2002,formar_baseball,infield,Baseball_Special,Ball,baseball_game,Baseball#Around-the-world,Sports_(baseball),Boys_Baseball,aseball,Professional_Baseball_player,When_It_Was_a_Game,second_and_third,ballgame,fair,Baseball,_boys',foul,Swing,Baseball_swing,swing,batter,pelota,baseball_player,games,Home_Run_Hotel,Origins_of_baseball,kaddur_basis,baseball's,Some_knowledge_of_baseball,Baseball,player,baseball_pitch,baseball_diamond,American_baseball,\,Professional_Baseball_Player,Baseball_Player,Baseball's,Hall_of_Fame,Baseball,_Boys,B.B.,Player,walks,Boys'_Baseball,Baseball_telecasts,hardball,High_School_Baseball,Baseball_Players,Baseball#Baseball_around_the_world,Baseball_Around_the_World,ballpark,Major_League_Baseball,ball_game,assists,Baseball#Rules_and_gameplay,Brian_McCann,Triple_Crown,professional_baseball_player,ball,foul_line,Hardball,base_paths",7|8
brachyurous.a.01,of or belonging to the suborder Brachyura,brachyurous,Q56160734,article,On_a_new_Brachyurous_Crustacean_from_Lake_Tanganyika.,7|8
bottom-feeding.a.01,of or relating to fish and marine life that feed on the bottom of a body of water,bottom-feeding,Q58385547,article,Hypoxia-induced_structural_changes_in_the_diet_of_bottom-feeding_fish_and_Crustacea,7|8
antinomianism.n.01,the theological doctrine that by faith and God's grace a Christian is freed from all laws (including the moral standards of the culture),antinomianism,Q9554,"Saxon priest, monk and theologian, seminal figure in Protestant Reformation","Martin_Luther,Martinos_Luter,Marczin_Luther,Martti_Luther,Martin_Lutr,Marcin_Luter,Mātīn_Lūtœ,Martí_Luther,Mārtiņš_Luters,Martín_Lutero,Márton_Luther,Marṭin_Luter,D._M._L._A.,Luttar_Cāstiriyār,Martinus_Luther,Maarten_Luther,Luther,Lutʻŏ,Marti_Luther,Martin_Lutero,Marton_Luther,Martin_Luther,who_opposed_antinomianism,Luther,_Martin,Martin_Luther's_famous_statement,Monk_of_Wittenberg,Paul_Luther,Martin_Luther#Birth_and_education,Wittenberg,Lutherisches,LUTHER,_MARTIN,Martinum_Lutherum,on_Islam,Lutheran_Memorial_Beech_Tree,Lutherum,Lutherans,Martin_Luther's_critique_of_antinomianism,Martin_[Luther],Luther#Anti-Antinomianism,Martin_Luther,hymns,Luther,Luther_died,bitter_controversy,Luther's_Bible,Luther’s,\,Ein_neues_Lied_wir_heben_an,Martin_Luther's,A_young_monk,Martin_Luther#Birth_and_education,Lutheran,Lutheran_doctrine,Martin,Martin_Luther#Catechisms,Dr._Martin_Luther,Luther's",7|8
punch_press.n.01,a power driven press used to shape metal parts,punch_press,Q11750728,"metal forming process that uses a punch press to force a tool, called a punch, through the workpiece to create a hole via shearing","Punching,die_cutting,Punching,Punching_,traditional_punching,punching,punch,punched,striking,Punching",7|8
mefenamic_acid.n.01,a nonsteroidal anti-inflammatory and analgesic drug (trade name Ponstel) used to treat mild pain (especially menstrual cramps),"mefenamic_acid,Ponstel",Q284321,chemical compound,"mefenamic_acid,CI-473,CN-35355,INF-3355,Ponstan®,Ponstel®,CN_35355,INF_3355,N-2,3-xylylanthranilic_acid,N-(2,3-xylyl)-2-aminobenzoic_acid,Mefenamic_acid,Acide_méfénamique,Mefenaminsaeure,Acidum_mefenamicum,N-2,3-Xylylanthranilic_acid,Acido_mefenamico,Mefenaminsäure,N-(2,3-Xylyl)-2-aminobenzoic_acid,Mefenamic_acid,Mefenamic_acid,mefenamic_acid,Dolfenal_Mefenamic_acid",7|8
dressing_case.n.01,a small piece of luggage for carrying brushes and bottles and toilet articles while traveling,dressing_case,Q64633235,drawing in the National Gallery of Art (NGA 21046),Lady's_Dressing_Case,7|8
elitism.n.01,the attitude that society should be governed by an elite group of individuals,elitism,Q422933,"belief or attitude that some individuals, who form an elite, are those whose influence or authority is greater than that of others","elitism,Elitism,elitists,Italian_elitist_school,favoritism,elitarian,Elitism#Anti-elitism,elite_consensus,social_elites,Elitism,elites,Anti-equality,Segregational_elitism,Elitist,political_elites,anti-elitist,elitist,political_elitism,elite_theory,élite,academic_elitism,considers_herself_to_be_above,patrician,elite,traditional_social_elites,favouritism,elite_rule,social_elitism,elitism,Anti-elitism,rule_should_be_kept_in_the_hands_of",7|8
strombidae.n.01,the family of conchs,"Strombidae,family_Strombidae",Q732932,family of molluscs,"Strombidae,Strombidae,Strombidae,Strombids,strombid,true_conches,true_conchs,strombids,stromboid_notch,►",7|8
